County,Name,Type,City,Zip,Latitude,Longitude
Alameda,Silver Oak High Public Montessori Charter,High,Hayward,94541,37.672036,-122.098718
Alameda,Brenkwitz High,Continuation,Hayward,94541,37.67259,-122.09834
Alameda,Hayward High,High,Hayward,94541,37.6718,-122.0685
Alameda,Mt. Eden High,High,Hayward,94545,37.6248,-122.09014
Alameda,Impact Academy of Arts & Technology,K-12,Hayward,94545,37.63093,-122.10291
Alameda,Tennyson High,High,Hayward,94544,37.64183,-122.06642
Alameda,Bowman Elementary,Elementary,Hayward,94544,37.64276,-122.06268
Alameda,Burbank Elementary,Elementary,Hayward,94541,37.66614,-122.0952
Alameda,Cherryland Elementary,Elementary,Hayward,94541,37.67252,-122.09498
Alameda,East Avenue Elementary,Elementary,Hayward,94541,37.6714,-122.05493
Alameda,Eldridge Elementary,Elementary,Hayward,94544,37.63603,-122.08591
Alameda,Fairview Elementary,Elementary,Hayward,94541,37.68058,-122.0528
Alameda,Glassbrook Elementary,Elementary,Hayward,94544,37.6416,-122.08017
Alameda,Harder Elementary,Elementary,Hayward,94541,37.67567,-122.09846
Alameda,Longwood Elementary,Elementary,Hayward,94541,37.65845,-122.10956
Alameda,Lorin A. Eden Elementary,Elementary,Hayward,94545,37.62482,-122.10015
Alameda,Palma Ceia Elementary,Elementary,Hayward,94545,37.6275,-122.08644
Alameda,Schafer Park Elementary,Elementary,Hayward,94544,37.64208,-122.08655
Alameda,Southgate Elementary,Elementary,Hayward,94545,37.6383,-122.09453
Alameda,Treeview Elementary,Elementary,Hayward,94544,37.62465,-122.03742
Alameda,Cesar Chavez Middle,Middle,Hayward,94544,37.63611,-122.06333
Alameda,Anthony W. Ochoa Middle,Middle,Hayward,94545,37.64042,-122.10948
Alameda,Strobridge Elementary,Elementary,Castro Valley,94546,37.68779,-122.08841
Alameda,"Martin Luther King, Jr. Middle",Middle,Hayward,94545,37.63483,-122.09163
Alameda,Eden Gardens Elementary,Elementary,Hayward,94545,37.63737,-122.1075
Alameda,Faith Ringgold School of Arts and Science,Elementary,Hayward,94541,37.67713,-122.07222
Alameda,Lawrence Elementary,Elementary,Livermore,94551,37.69007,-121.77059
Alameda,Junction K-8,Elementary,Livermore,94551,37.68785,-121.76644
Alameda,Marylin Avenue Elementary,Elementary,Livermore,94551,37.68444,-121.78572
Alameda,Andrew N. Christensen Middle,Middle,Livermore,94551,37.72606,-121.7291
Alameda,Rancho Las Positas Elementary,Elementary,Livermore,94551,37.68801,-121.79664
Alameda,Leo R. Croce Elementary,Elementary,Livermore,94551,37.71769,-121.72895
Alameda,Altamont Creek Elementary,Elementary,Livermore,94551,37.72263,-121.71846
Alameda,Newark Memorial High,High,Newark,94560,37.52085,-122.00195
Alameda,Crossroads High (Alternative),Alternative Schools of Choice,Newark,94560,37.54686,-122.0363
Alameda,Bridgepoint High (Continuation),Continuation,Newark,94560,37.54869,-122.043
Alameda,August Schilling Elementary,Elementary,Newark,94560,37.52801,-122.04713
Alameda,E. L. Musick Elementary,Elementary,Newark,94560,37.54373,-122.03082
Alameda,H. A. Snow Elementary,Elementary,Newark,94560,37.5426,-122.04892
Alameda,James A. Graham Elementary,Elementary,Newark,94560,37.53878,-122.04221
Alameda,Birch Grove Primary,Elementary,Newark,94560,37.52921,-122.01562
Alameda,John F. Kennedy Elementary,Elementary,Newark,94560,37.55211,-122.04259
Alameda,Lincoln Elementary,Elementary,Newark,94560,37.53582,-122.05252
Alameda,Birch Grove Intermediate,Elementary,Newark,94560,37.53463,-122.02272
Alameda,Newark Junior High,Middle,Newark,94560,37.54231,-122.04073
Alameda,Core Learning Academy at Conley-Caraballo High,Continuation,Hayward,94544,37.61511,-122.02804
Alameda,Alternative Learning Academy at Conley-Caraballo High,Alternative Schools of Choice,Hayward,94544,37.61477,-122.02803
Alameda,Decoto School for Independent Study,Alternative Schools of Choice,Union City,94587,37.60642,-122.02816
Alameda,James Logan High,High,Union City,94587,37.59146,-122.02524
Alameda,Alvarado Elementary,Elementary,Union City,94587,37.59548,-122.07678
Alameda,Hillview Crest Elementary,Elementary,Hayward,94544,37.61461,-122.03518
Alameda,Searles Elementary,Elementary,Union City,94587,37.59554,-122.0277
Alameda,Itliong-Vera Cruz,Middle,Union City,94587,37.5945,-122.07579
Alameda,Cesar Chavez Middle,Middle,Union City,94587,37.59118,-122.04826
Alameda,Pioneer Elementary,Elementary,Union City,94587,37.57239,-122.07082
Alameda,Tom Kitayama Elementary,Elementary,Union City,94587,37.59867,-122.05028
Alameda,Guy Jr. Emanuele Elementary,Elementary,Union City,94587,37.60049,-122.01599
Alameda,Delaine Eastin Elementary,Elementary,Union City,94587,37.56745,-122.07416
Alameda,Oakland Unity High,High,Oakland,94605,37.77361,-122.185
Alameda,MetWest High,High,Oakland,94606,37.79531,-122.25786
Alameda,Think College Now,Elementary,Oakland,94601,37.77961,-122.2301
Alameda,EnCompass Academy Elementary,Elementary,Oakland,94621,37.75303,-122.18663
Alameda,Community Day,Community Day,Oakland,94619,37.78799,-122.17828
Alameda,Bay Area Technology,K-12,Oakland,94605,37.76597,-122.15368
Alameda,Lighthouse Community Charter High,High,Oakland,94621,37.73603,-122.19647
Alameda,Reach Academy,Elementary,Oakland,94603,37.74713,-122.16142
Alameda,Manzanita SEED Elementary,Elementary,Oakland,94601,37.792,-122.22428
Alameda,Sankofa United,Elementary,Oakland,94609,37.8471,-122.264
Alameda,Rise Community,Elementary,Oakland,94621,37.7518,-122.17875
Alameda,Achieve Academy,Elementary,Oakland,94621,37.78207,-122.22661
Alameda,United for Success Academy,Middle,Oakland,94601,37.78498,-122.21655
Alameda,Elmhurst United Middle,Middle,Oakland,94603,37.74587,-122.1661
Alameda,Coliseum College Prep Academy,K-12,Oakland,94621,37.76162,-122.19305
Alameda,Fred T. Korematsu Discovery Academy,Elementary,Oakland,94603,37.73713,-122.17397
Alameda,Oakland Charter High,High,Oakland,94601,37.78589,-122.21962
Alameda,Community United Elementary,Elementary,Oakland,94621,37.76102,-122.19193
Alameda,ARISE High,High,Oakland,94601,37.7761,-122.2251
Alameda,Futures Elementary,Elementary,Oakland,94621,37.76085,-122.19167
Alameda,Global Family,Elementary,Oakland,94601,37.77969,-122.21321
Alameda,Learning Without Limits,Elementary,Oakland,94601,37.780364,-122.21206
Alameda,East Oakland Pride Elementary,Elementary,Oakland,94621,37.7599,-122.1745
Alameda,Greenleaf Elementary,Elementary,Oakland,94621,37.76453,-122.19468
Alameda,Oakland International High,Alternative Schools of Choice,Oakland,94609,37.83361,-122.26047
Alameda,Aspire ERES Academy,Elementary,Oakland,94601,37.77559,-122.21178
Alameda,Infant and Preschool Program,Preschool,Oakland,94605,37.77516335,-122.1772871
